team,run_id,macro_f1,submitted_at,author_type,model,notes
faranbutt,run_01,0.7808776365939898,2026-03-02 09:10:19 UTC,human,"GAT(8-heads, LayerNorm)",Here is my submission for DiaGraph Competetion
emmanuel_owusu,run1,0.5046070977757431,2026-03-04 15:36:52 UTC,human,GraphSAGE,"2-layer GraphSAGE with layernormalization, and class weighting"
Team_Sanae,run_01,0.4769289367722276,2026-03-08 00:17:41 UTC,hybrid,GraphSage,llm to fix the data loading issue
samuel,run_01,0.4987805457343628,2026-03-10 10:26:23 UTC,human,GCNConv,"Stable model with BatchNorm, Gradient clipping and self-loops"
Elhouiti_Ikram,run_03,0.8223775090830094,2026-03-13 00:44:49 UTC,hybrid,GCN,llm used to find the reason of the loss NAN values
Abderrahmane,run_01,0.5010770570203402,2026-03-15 00:20:06 UTC,human,GAT,Transductive settings
Sargam_Goyal,01,0.5001833741897774,2026-03-21 08:59:47 UTC,human,BiGCN,Used focal loss
AIkram,run_1,0.4840521667499136,2026-03-28 16:55:17 UTC,human,GraphSAGE,"3-layer GraphSAGE with StandardScaler, gradient clipping, weighted CE for class imbalance"
Muhammad_Isah,run_01,0.72236984259086,2026-03-28 21:26:42 UTC,human,GCNConv,Compact GCNConv with seed 25 and label smoothing
Murad,gcn_v1,0.4996113894811101,2026-03-31 02:35:07 UTC,human,GCN (2-layer) top2 ensemble from 5-run GCN search,"Seed=25, 5-run manual search, GCN only, early stopping, class-balanced BCE, label smoothing, CPU Colab"
Tuga Yousif,run1,0.5041023397544293,2026-04-01 03:38:14 UTC,human,GCNConv,/
Tuga,run2,0.4991611306189448,2026-04-02 07:09:27 UTC,human,GAT,
Tuga A.Yousif,run3,0.4931422377274858,2026-04-02 07:51:11 UTC,human,GCNConv + dropout+norm,.
